,Title_Avg Salary(K)
0,0.517631834
1,100
2,0.611093138
3,0.549983824
4,0.823178403
5,0.682986448
6,0.528415831
7,0.819583738
8,23.23809524
9,1.006506345
10,1.175455624
11,0.611093138
12,50
13,6.586224233
14,0.815989072
15,100
16,100
17,50
18,50
19,0.629066465
20,0.758474424
21,50
22,50
23,0.603903807
24,1.028074338
25,50
26,0.715338438
27,61.68831169
28,50
29,0.611093138
30,0.549983824
31,0.690175779
32,50
33,0.869909055
34,0.808799741
35,100
36,0.769258421
37,0.790826414
38,3.216661215
39,2.181967888
40,8.848667672
41,2.027583368
42,50
43,33.81147541
44,2.835023443
45,1.11434631
46,14.30232558
47,38.31168831
48,100
49,50
50,0.654229124
51,50
52,100
53,0.826773069
54,0.787231748
55,0.542794493
56,1.110751645
57,1.031669003
58,0.528415831
59,0.682986448
60,2.333442373
61,0.826773069
62,50
63,50
64,0.611093138
65,0.848341062
66,0.571551817
67,100
68,0.923829038
69,100
70,100
71,100
72,31.14754098
73,50
74,0.704554441
75,100
76,100
77,33.33333333
78,0.790826414
79,0.815989072
80,0.891477048
81,100
82,0.934613034
83,7.792860734
84,1.790860436
85,5.379587733
86,50
87,0.819583738
88,0.614687803
89,100
90,100
91,100
92,100
93,100
94,100
95,35.04098361
96,0.700959776
97,0.711743772
98,5.681246858
99,10.31007752
100,0.869909055
101,0.614687803
102,100
103,5.179369752
104,1.965829559
105,2.278922691
106,100
107,5.494505495
108,23.42857143
109,1.128724972
110,1.605599012
111,0.815989072
112,1.006506345
113,0.952586362
114,2.223137093
115,100
116,0.772853086
117,1.955537258
118,100
119,7.850029291
120,0.722527769
121,0.772853086
122,2.511321531
123,1.904075751
124,6.234288587
125,100
126,0.772853086
127,100
128,100
129,0.582335814
130,3.205757278
131,0.611093138
132,100
133,100
134,19.16110582
135,100
136,0.611093138
137,50
138,2.72745986
139,2.058460272
140,100
141,100
142,100
143,100
144,100
145,1.790860436
146,100
147,7.751937984
148,100
149,100
150,6.093906094
151,100
152,1.73939893
153,50
154,12.71317829
155,50
156,3.096717915
157,50
158,50
159,50
160,50
161,50
162,50
163,50
164,6.143856144
165,50
166,50
167,50
168,3.282084833
169,50
170,1.471799094
171,50
172,50
173,7.742257742
174,50
175,2.148075455
176,50
177,50
178,50
179,50
180,50
181,50
182,50
183,3.227565151
184,50
185,50
186,50
187,50
188,33.33333333
189,1.451214492
190,33.33333333
191,33.33333333
192,33.33333333
193,33.33333333
194,33.33333333
195,33.33333333
196,16.60958904
197,25
198,25
199,25
200,25
201,25
202,25
203,25
204,25
205,15.57971014
206,50
207,0.639850462
208,100
209,100
210,100
211,0.5212265
212,6.093906094
213,50
214,1.73939893
215,0.629066465
216,9.30115636
217,100
218,100
219,12.71317829
220,50
221,3.096717915
222,4.776269482
223,50
224,6.938159879
225,4.927099045
226,50
227,50
228,100
229,0.636255796
230,50
231,50
232,0.603903807
233,100
234,50
235,1.811445039
236,100
237,6.143856144
238,0.693770445
239,100
240,0.111434631
241,0.600309141
242,50
243,1.171860958
244,100
245,20
246,50
247,100
248,100
249,0.679391783
250,3.282084833
251,0.733311765
252,50
253,50
254,50
255,1.028074338
256,100
257,1.471799094
258,0.776447752
259,50
260,50
261,50
262,7.742257742
263,100
264,0.783637083
265,0.690175779
266,50
267,2.079044874
268,2.148075455
269,100
270,50
271,50
272,50
273,0.647039793
274,32.22222222
275,50
276,50
277,0.920234372
278,0.715338438
279,0.690175779
280,0.726122434
281,3.227565151
282,100
283,3.685530477
284,50
285,50
286,100
287,1.554137505
288,3.031294297
289,100
290,100
291,50
292,100
293,34.68950749
294,50
295,100
296,1.89378345
297,100
298,100
299,100
300,100
301,43.30143541
302,50
303,0.869909055
304,2.398865991
305,50
306,48.45360825
307,1.451214492
308,50
309,1.89378345
310,33.33333333
311,50
312,33.33333333
313,33.33333333
314,1.182644955
315,50
316,33.33333333
317,2.243721696
318,31.40756303
319,50
320,2.715080144
321,50
322,16.78082192
323,33.33333333
324,7.139265963
325,50
326,0.769258421
327,0.808799741
328,33.33333333
329,33.88888889
330,33.33333333
331,50
332,50
333,33.33333333
334,1.945244957
335,16.60958904
336,33.33333333
337,25
338,33.33333333
339,25
340,1.327706875
341,33.33333333
342,33.33333333
343,25
344,2.802311635
345,33.33333333
346,25
347,25
348,50
349,33.33333333
350,2.037875669
351,25
352,3.042198234
353,2.243721696
354,33.33333333
355,33.33333333
356,25
357,25
358,33.33333333
359,33.33333333
360,17.75362319
361,33.33333333
362,33.33333333
363,33.33333333
364,33.33333333
365,33.33333333
366,33.33333333
367,33.33333333
368,33.33333333
369,33.33333333
370,33.33333333
371,33.33333333
372,0.654229124
373,1.11434631
374,50
375,50
376,50
377,13.95348837
378,50
379,6.590509666
380,8.741258741
381,50
382,50
383,50
384,50
385,1.749691231
386,50
387,50
388,50
389,8.113649678
390,50
391,50
392,50
393,50
394,15.57971014
395,50
396,50
397,50
398,50
399,2.835023443
400,50
401,50
402,50
403,50
404,50
405,50
406,50
407,50
408,50
409,50
410,50
411,50
412,50
413,50
414,50
415,50
416,50
417,50
418,8.142940832
419,7.996485062
420,50
421,50
422,0.542794493
423,1.031669003
424,0.726122434
425,1.89378345
426,50
427,33.33333333
428,0.837557065
429,100
430,0.866314389
431,50
432,33.33333333
433,1.099967648
434,0.913045041
435,0.614687803
436,0.549983824
437,0.920234372
438,1.883491149
439,33.33333333
440,1.182644955
441,33.33333333
442,50
443,31.40756303
444,50
445,2.243721696
446,37.18487395
447,0.769258421
448,1.110751645
449,0.815989072
450,2.715080144
451,1.031669003
452,0.815989072
453,0.7297171
454,100
455,0.578741148
456,0.794421079
457,50
458,1.002911679
459,1.046047665
460,0.6254718
461,0.722527769
462,100
463,2.2745986
464,16.78082192
465,0.675797117
466,2.693272271
467,33.33333333
468,7.139265963
469,100
470,50
471,33.33333333
472,0.787231748
473,14.30232558
474,100
475,33.88888889
476,33.33333333
477,5.982905983
478,50
479,33.33333333
480,50
481,6.636500754
482,1.945244957
483,0.542794493
484,16.58722593
485,50
486,0.618282469
487,2.540617163
488,33.33333333
489,33.33333333
490,16.60958904
491,1.646768217
492,25
493,25
494,19.62563812
495,1.410045286
496,100
497,50
498,50
499,50
500,1.327706875
501,33.33333333
502,0.700959776
503,33.33333333
504,25
505,0.682986448
506,2.802311635
507,22.00794101
508,0.751285093
509,33.33333333
510,50
511,50
512,2.326060107
513,50
514,3.336604514
515,50
516,50
517,25
518,50
519,33.33333333
520,25
521,0.826773069
522,2.911350998
523,2.037875669
524,25
525,6.385471588
526,2.243721696
527,3.042198234
528,33.33333333
529,23.83222116
530,50
531,33.33333333
532,25
533,25
534,33.33333333
535,33.33333333
536,50
537,17.75362319
538,25.77319588
539,50
540,33.33333333
541,33.33333333
542,33.33333333
543,33.33333333
544,33.33333333
545,33.33333333
546,33.33333333
547,33.33333333
548,0.571551817
549,100
550,33.33333333
551,33.33333333
552,13.83616384
553,50
554,50
555,50
556,6.004686585
557,33.33333333
558,50
559,26.75760756
560,100
561,50
562,100
563,100
564,50
565,50
566,50
567,9.390609391
568,8.741258741
569,5.68248389
570,6.590509666
571,100
572,50
573,100
574,0.826773069
575,100
576,50
577,50
578,100
579,100
580,50
581,100
582,50
583,1.749691231
584,1.245368464
585,13.95348837
586,50
587,56.69856459
588,50
589,50
590,8.113649678
591,50
592,100
593,15.57971014
594,50
595,100
596,50
597,100
598,2.171675587
599,1.708522026
600,50
601,50
602,50
603,50
604,100
605,50
606,50
607,50
608,100
609,50
610,50
611,100
612,50
613,46.48478489
614,50
615,1.965829559
616,50
617,50
618,50
619,100
620,50
621,50
622,50
623,50
624,50
625,0.611093138
626,16.73284175
627,50
628,1.66735282
629,50
630,8.142940832
631,7.996485062
632,35.54603854
633,100
634,50
635,100
636,50
637,100
638,100
639,100
640,100
641,100
642,29.76445396
643,100
644,100
645,100
646,100
647,100
648,100
649,100
650,50
651,50
652,33.33333333
653,100
654,6.636500754
655,1.945244957
656,0.819583738
657,0.542794493
658,0.690175779
659,16.58722593
660,0.618282469
661,2.540617163
662,33.33333333
663,16.60958904
664,33.33333333
665,1.646768217
666,25
667,19.62563812
668,25
669,1.410045286
670,50
671,50
672,2.333442373
673,50
674,0.693770445
675,33.33333333
676,33.33333333
677,0.682986448
678,0.700959776
679,2.802311635
680,25
681,22.00794101
682,33.33333333
683,50
684,0.751285093
685,0.499658507
686,0.869909055
687,50
688,2.326060107
689,100
690,50
691,3.336604514
692,100
693,2.835023443
694,50
695,100
696,25
697,50
698,50
699,50
700,0.639850462
701,25
702,33.33333333
703,2.037875669
704,25
705,6.385471588
706,2.243721696
707,3.042198234
708,33.33333333
709,23.83222116
710,50
711,25
712,33.33333333
713,25
714,0.923829038
715,33.33333333
716,100
717,33.33333333
718,17.75362319
719,25.77319588
720,50
721,50
722,33.33333333
723,33.33333333
724,33.33333333
725,33.33333333
726,33.33333333
727,33.33333333
728,33.33333333
729,33.33333333
730,33.33333333
731,33.33333333
732,100
733,13.83616384
734,50
735,1.801152738
736,50
737,50
738,6.004686585
739,33.33333333
740,26.75760756
741,50
